middle error             condition number
4.49928734049188e-05     5.828031510410291
1.4060256334836804e-05   25.27222917307349
3.6908080432635805e-06   103.078900114996
9.336789581892036e-07    414.31287458286846
2.3408737997304696e-07   1659.2505841592267
5.856379860875657e-08    6639.00187470876
1.4653802226120491e-08   26558.00714992941
3.6617478381059665e-09   106234.02827827902
9.210399346416126e-10    424938.1128094462
2.5035357749565723e-10   1699754.4509190514
6.108876382179829e-11    6799019.804807418
1.2801691347610888e-11   27196081.20759925
